Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,Afghanistan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,3.22,4.622,0.826,,,,,3.894,12.957,13.514,7.423,2.193,14.52624,,0.04576,0.99578,0.97741
Bermuda,Albania,Import,  All Products,Import (US$ Thousand),6.962,,,,,,,,,,,,,0.944,0.02,2.263,2.491,1.91,4.107,6.421,5.923,1.167,12.0224,10.67985,3.67384,5.9352,6.84245
Bermuda,Algeria,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,6.407,2.107,0.122,1.368,,,,1.094,0.001,0.005,0.729,0.026,,1.65951,0.13017,0.37371,0.5337
Bermuda,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,18.685,11.298,20.417,1.355,2.594,,,,2.225,0.832,4.559,0.356,0.1,2.74928,1.1502,0.08219,0.05897
Bermuda,Andorra,Import,  All Products,Import (US$ Thousand),12.528,,,,,,,,,,,,,4.332,0.376,,,0.782,0.077,0.122,,,,,0.02089,0.1749,0.38491
Bermuda,Angola,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,0.131,,,0.017,0.17336,0.00935
Bermuda,Anguila,Import,  All Products,Import (US$ Thousand),11.642,,10.672,,,,,,,,1.52,1.5,,,0.5,,0.05,,1.365,,0.438,0.875,2.1,846.84156,1635.24642,0.42336,
Bermuda,Antarctica,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.72933,,,0.00827,0.116
Bermuda,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),1729.482,,,,,,,,,,7.505,14.034,21.428,13.166,132.258,1.198,17.382,14.268,6.679,0.2,2.291,4029.105,10127.50597,12532.81938,906.45605,1966.63893,4882.01549
Bermuda,Argentina,Import,  All Products,Import (US$ Thousand),10.19,,28.979,,,,,,,,143.425,193.597,154.435,423.57,532.92,217.218,71.805,254.783,475.549,481.341,370.29,487.192,369.57954,325.12265,279.15057,243.57208,199.03382
Bermuda,Armenia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,0.24,0.01,0.225,0.02995,,1.52154,0.12499
Bermuda,Aruba,Import,  All Products,Import (US$ Thousand),20370.182,,5663.122,,,,,,,,19.391,13.718,11.169,12.997,2.81,1.176,0.697,1.603,0.26,0.083,0.084,,0.064,18.139,8.971,,10.05788
Bermuda,Australia,Import,  All Products,Import (US$ Thousand),279.812,,979.838,,,,,,,,1284.832,3129.662,1123.884,1373.639,1496.219,801.664,444.245,605.354,388.472,691.692,550.232,1100.833,1148.28419,672.24368,962.71241,785.38525,962.19921
Bermuda,Austria,Import,  All Products,Import (US$ Thousand),390.257,,306.309,,,,,,,,233.422,1531.382,553.885,1397.143,221.423,431.734,223.972,137.873,191.992,357.908,329.829,474.026,1039.24091,631.47859,770.97197,414.17398,236.12437
Bermuda,Azerbaijan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,0.803,,0.25192,0.02854
Bermuda,"Bahamas, The",Import,  All Products,Import (US$ Thousand),658.309,,282.698,,,,,,,,98.121,10.981,72.606,189.958,25.526,288.611,257.83,543.134,61614.59,77.398,13796.212,2717.715,18939.45135,28576.41233,90.55901,9421.67254,488.6023
Bermuda,Bahrain,Import,  All Products,Import (US$ Thousand),25.956,,20.474,,,,,,,,59.251,5.054,3.541,0.017,0.09,,,0.344,1.456,214.769,0.366,0.114,0.005,2.46907,10.66717,1.93553,7.63961
Bermuda,Bangladesh,Import,  All Products,Import (US$ Thousand),17.06,,20.817,,,,,,,,11.088,29.08,41.528,102.784,121.888,155.342,173.992,240.701,273.915,270.695,482.116,541.586,718.38255,755.227,693.41045,655.72904,775.93811
Bermuda,Barbados,Import,  All Products,Import (US$ Thousand),387.134,,328.829,,,,,,,,743.133,884.214,733.167,488.284,490.062,482.315,301.891,16950.01,366.279,685.039,516.551,741.053,2256.38169,1403.94162,521.82667,617.07009,504.06502
Bermuda,Belarus,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,2.514,,,,0.32,,,,0.014,,,0.3285,,0.378,0.145,0.03
Bermuda,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,667.75,794.8,378.474,752.486,395.844,484.049,428.564,373.336,878.648,3693.244,913.419,653.383,838.37599,818.65631,647.9103,696.62291,565.65436
Bermuda,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),223.057,,186.582,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Belize,Import,  All Products,Import (US$ Thousand),7.359,,,,,,,,,,,3.217,0.059,0.912,0.036,0.072,4.396,34.762,2.038,0.045,0.135,0.934,0.015,5.0775,0.22983,0.1432,0.0558
Bermuda,Benin,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,1.478,,,,,0.029,,,,,,,,0.02323
Bermuda,Bhutan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,0.07197,
Bermuda,Bolivia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.064,,,,,2.94,0.66,2.235,,0.127,1.037,6.55999,,2.59289,2.5982,42.56212
Bermuda,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,1.92,0.574,3.98,1.796,5.706,5.242,4.573,2.119,10.601,21.32966,6.13996,0.26737,1.31436,2.35536
Bermuda,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,0.103,,,,,,,0.01,,,0.29926,4.23705,
Bermuda,Bouvet Island,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,20.579,,,,,,0.4,,,,
Bermuda,Brazil,Import,  All Products,Import (US$ Thousand),337.73,,457.086,,,,,,,,554.891,1108.953,1391.555,1188.219,1412.976,1172.726,950.602,874.51,950.467,1230.438,1817.898,999.464,701.25199,1543.68981,796.43394,1496.93301,1714.46537
Bermuda,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,60.8,7.974,,,,,,2.841,11.0428,1.49312,0.0579,0.06494,
Bermuda,British Virgin Islands,Import,  All Products,Import (US$ Thousand),12.746,,,,,,,,,,11.6,8.216,13.354,8.249,6.791,0.751,0.529,2.334,3.224,4.528,9.266,10.441,40.68688,111.54017,124.64892,203.63689,129.19532
Bermuda,Brunei,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,25.527,0.062,2.22,4.438,7.34,2.712,1.172,,0.505,,,1.452,,147.77252,90.13978,0.03432,0.0595
Bermuda,Bulgaria,Import,  All Products,Import (US$ Thousand),0.599,,4.151,,,,,,,,2.575,7.224,10.303,18.178,80.776,67.77,23.652,30.621,47.188,46.033,38.876,70.879,89.90703,54.82502,77.95518,52.09689,31.93755
Bermuda,Burkina Faso,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,0.608,0.288,,,,0.19066,0.01,,
Bermuda,Burundi,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,9.73,0.118,0.04,0.021,0.061,0.15,0.01396,,0.47558,,0.06167
Bermuda,Cambodia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,6.177,6.613,6.306,21.171,10.763,68.726,25.172,91.534,158.808,217.724,227.469,145.258,170.48857,202.16764,199.27243,225.41971,191.78336
Bermuda,Cameroon,Import,  All Products,Import (US$ Thousand),,,3.23,,,,,,,,,18.489,2.02,0.15,5.725,0.067,0.762,35.991,0.593,0.374,2.073,0.772,0.64721,22.63958,2.82748,0.93947,12.78246
Bermuda,Canada,Import,  All Products,Import (US$ Thousand),26531.128,,31297.368,,,,,,,,39044.4,71107.583,82693.898,76522.07,69634.826,77885.104,107340.677,96126.057,121566.442,124577.72,136964.283,109748.945,102218.3579,97321.7785,97721.39758,71489.52573,72043.00034
Bermuda,Cape Verde,Import,  All Products,Import (US$ Thousand),20.677,,,,,,,,,,,841.618,,0.046,2.265,,,,,0.17,1.262,0.279,0.01678,,0.23998,2.686,0.28431
Bermuda,Cayman Islands,Import,  All Products,Import (US$ Thousand),2.621,,95.062,,,,,,,,1491.527,1657.539,1612.028,1276.264,746.328,733.328,75.712,76.542,68.829,256.047,331.926,19.462,436.09773,95.95481,112.33322,24.31538,100.89619
Bermuda,Central African Republic,Import,  All Products,Import (US$ Thousand),24.195,,24.21,,,,,,,,,,,,0.041,,,0.168,,,0.002,,,,5.35366,,
Bermuda,Chad,Import,  All Products,Import (US$ Thousand),,,0.529,,,,,,,,,,1.47,,,,,,,,,,,0.76368,0.40247,,0.108
Bermuda,Chile,Import,  All Products,Import (US$ Thousand),182.628,,377.66,,,,,,,,660.612,678.595,594.632,822.92,675.929,488.309,225.63,435.155,394.928,471.625,441.663,501.799,417.22317,445.52069,465.80655,313.99321,205.78344
Bermuda,China,Import,  All Products,Import (US$ Thousand),926.731,,422.384,,,,,,,,2033.824,4745.53,4616.611,7500.053,5544.264,9322.647,8088.714,9386.478,11336.218,15924.219,24746.373,23913.282,27530.31838,25452.57317,25092.70513,27441.9669,21990.90149
Bermuda,Christmas Island,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.164,8.425,0.769,0.013,0.011,0.338,0.115,7.694,0.441,1.757,,,,,
Bermuda,Cocos (Keeling) Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.031,,,,0.672,,1.662,1.142,,,,,0.184,0.02954,0.1537,,
Bermuda,Colombia,Import,  All Products,Import (US$ Thousand),95.04,,126.705,,,,,,,,259.795,170.811,225.976,273.143,254.128,191.175,173.948,194.089,220.483,198.799,196.038,203.613,344.52302,182.56011,221.29988,95.08116,275.14767
Bermuda,Comoros,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,0.107,0.046,0.516,0.64,,,0.105,1.22277,0.11555,0.71751,0.11635,0.29682
Bermuda,"Congo, Dem. Rep.",Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,4.22,8.947,25.766,0.604,0.087,,0.416,0.166,4.472,0.94347,1.463,,12.6658,
Bermuda,"Congo, Rep.",Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.15,,,,,,19.597,1.248,,0.251,,0.06075,,0.06142,0.0777,
Bermuda,Cook Islands,Import,  All Products,Import (US$ Thousand),0.703,,,,,,,,,,,,,6.244,,,,1.265,0.023,,0.18,,,1.36,,,
Bermuda,Costa Rica,Import,  All Products,Import (US$ Thousand),118.295,,320.616,,,,,,,,659.652,870.006,709.082,1381.244,1363.108,282.576,567.326,854.345,597.804,327.141,283.498,267.752,604.3455,465.84701,449.64984,582.24259,593.98377
Bermuda,Cote d'Ivoire,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.006,,,,,,,0.724,0.122,1.037,1.6459,,,0.07415,0.09798
Bermuda,Croatia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,5.421,,17.179,55.958,15.567,48.643,42.074,45.555,27.682,122.43,23.801,16.47137,21.45305,33.38272,36.32943,14.02319
Bermuda,Cuba,Import,  All Products,Import (US$ Thousand),184.774,,315.708,,,,,,,,1170.872,420.768,696.479,240.858,16.157,0.897,,0.39,34.368,68.612,123.925,40.283,117.71551,168.11104,70.15644,0.31571,15.12132
Bermuda,Curaçao,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,353.279,295.474,361.786,310.293,192.333,96.134,11367.60473,2869.11839,141.79331,121.02665,50.90882
Bermuda,Cyprus,Import,  All Products,Import (US$ Thousand),4.5,,,,,,,,,,,,,5.51,0.03,,,,0.104,0.184,28.412,14.308,1.22063,5.30099,1.68464,0.82009,6.04548
Bermuda,Czech Republic,Import,  All Products,Import (US$ Thousand),80.335,,13.894,,,,,,,,7.171,31.322,6.099,31.108,47.818,49.686,72.125,98.763,28.267,68.087,61.811,84.515,233.94038,209.17809,234.39728,212.8901,391.11315
Bermuda,Denmark,Import,  All Products,Import (US$ Thousand),2548.428,,1809.162,,,,,,,,2009.256,1709.211,1991.364,2109.674,1484.703,2483.388,1966.469,3491.959,1433.17,2156.621,2174.541,2068.005,2402.00953,3170.70026,35402.60815,2615.46348,4098.83142
Bermuda,Djibouti,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.007,,,,,,,,,,,,,,0.016,
Bermuda,Dominica,Import,  All Products,Import (US$ Thousand),369.467,,273.162,,,,,,,,0.417,1.816,0.214,0.19,1.004,0.01,2.477,3.782,0.05,0.18,10.092,1.844,8.02755,0.31016,20.76888,1.39127,0.53196
Bermuda,Dominican Republic,Import,  All Products,Import (US$ Thousand),16.668,,42.517,,,,,,,,42.606,128.281,386.868,4773.068,4547.943,3579.582,3285.183,2057.411,1064.407,2084.543,2904.113,3431.371,391.96887,1320.83222,1531.6825,1090.54079,1863.09579
Bermuda,East Timor,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,39.292,,,,,,0.087,1.671,,,,,0.0823,28.35451,0.669
Bermuda,Ecuador,Import,  All Products,Import (US$ Thousand),16.141,,2.035,,,,,,,,1.767,1.036,32.832,22.269,4.933,20.414,1.647,9.174,1.08,8.056,4.597,6.921,22.24331,4.48138,57.72514,86.37808,142.39597
Bermuda,"Egypt, Arab Rep.",Import,  All Products,Import (US$ Thousand),36.23,,53.402,,,,,,,,51.004,163.602,80.031,42.476,14.714,55.853,13.268,33.341,28.328,24.072,26.819,61.923,62.54244,93.29892,87.9677,48.48758,80.43004
Bermuda,El Salvador,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,20.122,33.008,31.99,76.747,21.283,18.182,6.43,9.795,14.95,6.432,6.231,8.214,9.96587,20.76849,14.07259,16.00957,19.42716
Bermuda,Equatorial Guinea,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.01018,,,,
Bermuda,Eritrea,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,0.02,,11.616,1.753,28.331,58.477,1.972,,,,2.23691,,0.30472,0.4795
Bermuda,Estonia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,0.004,0.127,,0.002,0.142,0.403,2.663,55.293,74.74,2.9929,1.9723,4.28041,10.09855,57.63864
Bermuda,Eswatini,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,21.735,23.603,10.768,13.402,82.705,57.107,60.831,16.7,51.766,9.1,0.187,,28.142,207.16809,0.156,5.63246,11.43382
Bermuda,Ethiopia(excludes Eritrea),Import,  All Products,Import (US$ Thousand),,,3.234,,,,,,,,2.427,1.662,51.992,118.77,0.66,0.352,1.5,5.041,0.733,0.023,2.284,0.238,0.01,1.4608,4.28465,3.14919,2.31448
Bermuda,Faeroe Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,2.459,,,,,,
Bermuda,Falkland Island,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,0.025,,,,,,
Bermuda,Fiji,Import,  All Products,Import (US$ Thousand),25.406,,17.723,,,,,,,,,79.515,93.738,136.71,35.738,70.505,43.691,87.85,126.825,81,1.444,44.438,30.8975,19.6975,142.7342,16.70484,133.3125
Bermuda,Finland,Import,  All Products,Import (US$ Thousand),31.486,,47.268,,,,,,,,105.141,30.239,135.129,299.21,174.298,62.202,878.424,63.219,311.66,409.366,155.019,1593.61,713.49315,187.87372,105.39121,319.05188,475.49402
Bermuda,Fm Sudan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,3.79,3.967,,,,,,,,,,,,,
Bermuda,Fr. So. Ant. Tr,Import,  All Products,Import (US$ Thousand),1.512,,0.692,,,,,,,,,,,,,,52.114,,,,,,,,0.0154,,
Bermuda,France,Import,  All Products,Import (US$ Thousand),8079.553,,7455.376,,,,,,,,12147.613,15549.88,14726.287,14254.414,11597.078,7302.565,4490.036,7688.341,5896.057,7612.271,8908.685,8420.384,12071.31795,9166.67189,10170.64955,7900.15948,9760.32093
Bermuda,French Polynesia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.055,0.885,,,,,,3.085,,0.393,,,,,3.78845
Bermuda,Gabon,Import,  All Products,Import (US$ Thousand),2.866,,,,,,,,,,,25.96,4.342,33.111,2.075,0.264,2.152,,3.196,0.637,0.02,32.009,0.072,0.1737,,0.17968,0.0113
Bermuda,"Gambia, The",Import,  All Products,Import (US$ Thousand),2.245,,4.571,,,,,,,,691.916,239.747,0.374,,,,0.143,,0.03,,0.001,,1.09488,,0.08863,0.02656,0.32859
Bermuda,Georgia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,0.076,1.022,0.594,11.432,4.569,8.318,5.76,1.67,3.08362,3.38495,26.34593,1.31448,95.52681
Bermuda,Germany,Import,  All Products,Import (US$ Thousand),3413.18,,4355.358,,,,,,,,5423.78,11732.568,12399.593,11754.404,13687.081,6429.249,7365.355,8839.531,9400.761,7215.166,5091.56,7981.354,10469.53636,10004.57998,12092.26831,9870.57238,17697.32794
Bermuda,Ghana,Import,  All Products,Import (US$ Thousand),,,1.05,,,,,,,,0.893,,1.73,45.969,5.287,3.496,1.001,4.263,2.182,3.512,4.142,17.854,9.57181,12.99576,4.08976,5.66197,18.36518
Bermuda,Gibraltar,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.027,,,,,,,,,2.341,0.427,,0.18592,504.51984,0.02,0.02287,0.39008
Bermuda,Greece,Import,  All Products,Import (US$ Thousand),56.163,,3.477,,,,,,,,7.996,26.424,313.627,731.056,96.649,3.963,32.569,4.79,15.339,91.211,21.749,40.182,39.80343,388.27066,73.69001,11.48974,18.42659
Bermuda,Greenland,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.08,,,,,,,,,,,,,,,,
Bermuda,Grenada,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,9.278,0.564,0.308,3.018,1.573,0.2,0.185,0.576,,0.111,0.749,3.495,0.004,19.19491,0.0005,1.17421,390.81
Bermuda,Guadeloupe,Import,  All Products,Import (US$ Thousand),43.114,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Guam,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,0.164,0.419,,0.02,0.52,1.052,1.942,0.044,,,0.082,,,0.08
Bermuda,Guatemala,Import,  All Products,Import (US$ Thousand),29.389,,5.901,,,,,,,,147.682,56.067,13.649,13.08,32.014,28.777,24.257,8.785,21.769,308.188,100.445,31.288,59.71143,31.07172,299.91793,97.02941,256.62854
Bermuda,Guinea,Import,  All Products,Import (US$ Thousand),9.212,,1.753,,,,,,,,,0.435,5.758,2.29,44.554,4.382,0.522,1.306,0.824,1.324,0.24,,0.494,,0.01928,,0.07857
Bermuda,Guinea-Bissau,Import,  All Products,Import (US$ Thousand),,,17.078,,,,,,,,,3.586,,,,,0.643,,,,,,,,0.67035,9.73968,
Bermuda,Guyana,Import,  All Products,Import (US$ Thousand),,,26.044,,,,,,,,14.177,19.001,16.129,21.767,25.005,32.161,0.009,14.634,0.942,32.768,295.411,620.429,437.48254,417.3424,169.78057,30.55973,0.11204
Bermuda,Haiti,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.437,7.525,3.321,4.249,2.32,2.941,9.156,5.998,1.531,3.261,5.89,7.063,11.8647,22.44,8.18091,6.31377,4.19689
Bermuda,Heard Island and McDonald Isla,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,5.395,1.377,,,,,,,1.408,,,,,0.27736,0.35262
Bermuda,Holy See,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.331,17.095,0.357,1.362,950,,19.247,0.015,7.37,25.526,3227.61,21.353,,,15.63159,0.005,0.3773
Bermuda,Honduras,Import,  All Products,Import (US$ Thousand),3.035,,1.851,,,,,,,,43.609,192.356,239.728,480.222,133.341,216.502,135.361,127.452,66.518,182.24,86.567,205.143,204.75352,91.91366,47.02458,100.73875,86.43607
Bermuda,"Hong Kong, China",Import,  All Products,Import (US$ Thousand),4736.712,,4059.76,,,,,,,,1541.701,1508.384,1291.105,2229.726,1213.91,884.657,1194.059,1156.379,920.028,1204.836,1281.241,1343.993,6244.2352,2922.02853,1526.05617,3354.79605,2299.84184
Bermuda,Hungary,Import,  All Products,Import (US$ Thousand),439.807,,476.236,,,,,,,,70.04,84.473,168.616,324.977,240.807,345.63,192.133,105.375,125.636,80.961,374.268,966.826,1437.50598,1188.18676,1177.71363,732.04693,944.74906
Bermuda,Iceland,Import,  All Products,Import (US$ Thousand),26.42,,68.879,,,,,,,,191.387,35.814,14.364,71.922,192.055,107.735,111.729,199.67,113.457,69.87,254.157,326.064,555.84357,566.59644,435.53074,427.5957,324.60408
Bermuda,India,Import,  All Products,Import (US$ Thousand),295.36,,201.195,,,,,,,,517.702,1259.828,1037.846,1144.452,1163.438,1508.542,1393.062,1804.411,1853.555,2732.597,3241.709,4464.33,4556.35164,4000.68884,4375.48326,3687.09342,7315.64551
Bermuda,Indonesia,Import,  All Products,Import (US$ Thousand),468.815,,648.148,,,,,,,,310.07,635.45,795.014,811.768,1095.599,1291.569,1124.733,702.761,1217.008,1580.844,1654.133,1400.516,1623.88252,1253.45764,1137.84732,1422.03257,1326.35874
Bermuda,"Iran, Islamic Rep.",Import,  All Products,Import (US$ Thousand),10.885,,35.275,,,,,,,,56.192,7.754,0.756,65.918,173.559,26.801,3.879,13.476,14.709,12.04,91.413,0.379,10.88528,0.27754,4.11123,4.80408,2.64683
Bermuda,Iraq,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,3.382,,,,,,
Bermuda,Ireland,Import,  All Products,Import (US$ Thousand),2711.977,,2508.609,,,,,,,,391.171,378.485,1095.931,673.173,417.022,481.309,595.113,1175.828,968.459,1257.518,1074.911,1227.785,1456.64957,1193.04505,2103.89122,2681.1936,1723.6501
Bermuda,Israel,Import,  All Products,Import (US$ Thousand),139.529,,51.436,,,,,,,,224.38,124.894,128.22,364.03,421.671,244.929,362.849,69.268,87.259,189.021,199.914,681.629,289.50554,276.90528,457.89502,152.56363,335.6672
Bermuda,Italy,Import,  All Products,Import (US$ Thousand),4793.991,,5125.525,,,,,,,,10435.887,13328.363,13004.529,13147.987,11983.297,8480.959,6430.084,8063.762,6833.575,8403.079,9160.887,9813.666,11790.01203,8997.16258,8380.15536,6607.41712,7166.78926
Bermuda,Jamaica,Import,  All Products,Import (US$ Thousand),892.349,,418.039,,,,,,,,760.015,1186.435,981.584,1587.387,1265.247,896.283,130.098,1356.437,1886.23,2049.201,2070.545,2258.022,2850.62997,2399.77503,2098.67109,2644.34167,2491.55067
Bermuda,Japan,Import,  All Products,Import (US$ Thousand),25605.508,,19894.22,,,,,,,,15984.955,17958.038,13559.517,12976.537,8361.79,7818.172,5797.922,4504.152,4299.726,4110.863,7552.834,8103.779,11026.09862,10918.76642,9921.85314,8683.78779,10658.32918
Bermuda,Jordan,Import,  All Products,Import (US$ Thousand),,,1.516,,,,,,,,2.199,55.473,0.032,2.14,1.965,42.331,4.155,0.532,0.454,0.812,4.601,26.117,48.7568,20.89544,7.56521,6.42492,27.92522
Bermuda,Kazakhstan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,0.00868,0.11359,0.01926
