Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1997,1998,1999,2000
Turkmenistan,Afghanistan,Import,  All Products,Import (US$ Thousand),2634.696,416.969,2302.348,1118.851
Turkmenistan,Anguila,Import,  All Products,Import (US$ Thousand),,1010.418,785.328,
Turkmenistan,Argentina,Import,  All Products,Import (US$ Thousand),23.628,2.071,6.862,18.16
Turkmenistan,Armenia,Import,  All Products,Import (US$ Thousand),22949.449,34583.032,7448.216,19782.587
Turkmenistan,Australia,Import,  All Products,Import (US$ Thousand),,,2.401,54.468
Turkmenistan,Austria,Import,  All Products,Import (US$ Thousand),2177.431,6957.612,5197.296,9696.355
Turkmenistan,Azerbaijan,Import,  All Products,Import (US$ Thousand),21501.377,15168.876,18797.5,36621.505
Turkmenistan,"Bahamas, The",Import,  All Products,Import (US$ Thousand),,,,187.801
Turkmenistan,Belarus,Import,  All Products,Import (US$ Thousand),8101.777,4372.013,15331.398,53475.756
Turkmenistan,Belgium,Import,  All Products,Import (US$ Thousand),,,10887.878,1605.18
Turkmenistan,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),5372.274,5200.476,,
Turkmenistan,Brazil,Import,  All Products,Import (US$ Thousand),25.5,,210.083,
Turkmenistan,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,,10.262
Turkmenistan,British Virgin Islands,Import,  All Products,Import (US$ Thousand),,249.149,672.004,5759.611
Turkmenistan,Bulgaria,Import,  All Products,Import (US$ Thousand),5953.876,2128.685,1978.5,3537.75
Turkmenistan,Canada,Import,  All Products,Import (US$ Thousand),196.317,536.13,740.538,295.011
Turkmenistan,China,Import,  All Products,Import (US$ Thousand),6963.417,6077.005,13538.141,16427.085
Turkmenistan,Croatia,Import,  All Products,Import (US$ Thousand),54.607,8.114,4.164,1.888
Turkmenistan,Cyprus,Import,  All Products,Import (US$ Thousand),719.465,510.256,7.113,388.837
Turkmenistan,Czech Republic,Import,  All Products,Import (US$ Thousand),1866.583,2191.67,7419.978,17688.366
Turkmenistan,Denmark,Import,  All Products,Import (US$ Thousand),1974.721,969.793,474.953,689.229
Turkmenistan,"Egypt, Arab Rep.",Import,  All Products,Import (US$ Thousand),,1.327,,
Turkmenistan,Estonia,Import,  All Products,Import (US$ Thousand),4020.458,1081.059,1309.574,2168.398
Turkmenistan,Finland,Import,  All Products,Import (US$ Thousand),12221.708,1627.225,4290.689,1173.543
Turkmenistan,France,Import,  All Products,Import (US$ Thousand),16241.778,17803.014,85317.024,75653.606
Turkmenistan,Georgia,Import,  All Products,Import (US$ Thousand),9026.136,13063.465,33925.808,10205.367
Turkmenistan,Germany,Import,  All Products,Import (US$ Thousand),47901.933,78523.398,70928,52626.068
Turkmenistan,Greece,Import,  All Products,Import (US$ Thousand),21.845,431.24,294.1,93.327
Turkmenistan,Guam,Import,  All Products,Import (US$ Thousand),,,,43.815
Turkmenistan,"Hong Kong, China",Import,  All Products,Import (US$ Thousand),2743.295,2310.993,297.024,206.957
Turkmenistan,Hungary,Import,  All Products,Import (US$ Thousand),1668.331,2628.005,4019.17,6153.617
Turkmenistan,India,Import,  All Products,Import (US$ Thousand),5430.066,3350.57,9362.564,9213.859
Turkmenistan,Indonesia,Import,  All Products,Import (US$ Thousand),,1.566,263.384,224.829
Turkmenistan,"Iran, Islamic Rep.",Import,  All Products,Import (US$ Thousand),38727.783,18006.406,66187.176,90910.773
Turkmenistan,Iraq,Import,  All Products,Import (US$ Thousand),,,98.279,4.8
Turkmenistan,Ireland,Import,  All Products,Import (US$ Thousand),3322.353,2405.452,686.404,1320.911
Turkmenistan,Israel,Import,  All Products,Import (US$ Thousand),1891.431,2500.249,1153.642,1365.643
Turkmenistan,Italy,Import,  All Products,Import (US$ Thousand),5238.126,14650.982,16833.556,7359.338
Turkmenistan,Japan,Import,  All Products,Import (US$ Thousand),6838.008,7914.178,64117.544,144350.126
Turkmenistan,Jordan,Import,  All Products,Import (US$ Thousand),,,,634.708
Turkmenistan,Kazakhstan,Import,  All Products,Import (US$ Thousand),86858.151,28570.363,19001.504,19736.065
Turkmenistan,"Korea, Dem. Rep.",Import,  All Products,Import (US$ Thousand),529.262,1262.862,1652.458,119.385
Turkmenistan,"Korea, Rep.",Import,  All Products,Import (US$ Thousand),,,,2968.045
Turkmenistan,Kuwait,Import,  All Products,Import (US$ Thousand),5873.811,1881.479,48.919,621.545
Turkmenistan,Kyrgyz Republic,Import,  All Products,Import (US$ Thousand),2267.879,2086.811,2983.444,4583.105
Turkmenistan,Latvia,Import,  All Products,Import (US$ Thousand),1966.311,1319.519,1697.978,16267.126
Turkmenistan,Lebanon,Import,  All Products,Import (US$ Thousand),1689.654,479.646,,168.814
Turkmenistan,Lithuania,Import,  All Products,Import (US$ Thousand),14448.956,6035.348,4385.002,17086.712
Turkmenistan,Malaysia,Import,  All Products,Import (US$ Thousand),,17.566,117.39,161.836
Turkmenistan,Mauritius,Import,  All Products,Import (US$ Thousand),,,,29.819
Turkmenistan,Mexico,Import,  All Products,Import (US$ Thousand),,,30,
Turkmenistan,Moldova,Import,  All Products,Import (US$ Thousand),1351.068,17534.452,507.967,22774.359
Turkmenistan,Netherlands,Import,  All Products,Import (US$ Thousand),12256.289,5342.831,5256.926,7051.451
Turkmenistan,New Zealand,Import,  All Products,Import (US$ Thousand),,,44.16,
Turkmenistan,Nigeria,Import,  All Products,Import (US$ Thousand),,4.672,,
Turkmenistan,North Macedonia,Import,  All Products,Import (US$ Thousand),,1,,
Turkmenistan,Norway,Import,  All Products,Import (US$ Thousand),,110.693,78.998,110.222
Turkmenistan,Oman,Import,  All Products,Import (US$ Thousand),,85.8,18.719,11
Turkmenistan,"Other Asia, nes",Import,  All Products,Import (US$ Thousand),,,354.569,67.688
Turkmenistan,Pakistan,Import,  All Products,Import (US$ Thousand),1533.968,494.903,3251.244,2221.368
Turkmenistan,Panama,Import,  All Products,Import (US$ Thousand),,9.172,12.389,
Turkmenistan,Poland,Import,  All Products,Import (US$ Thousand),2778.168,1319.466,5001.172,11973.149
Turkmenistan,Portugal,Import,  All Products,Import (US$ Thousand),,2.299,2.985,
Turkmenistan,Qatar,Import,  All Products,Import (US$ Thousand),,,,14.492
Turkmenistan,Romania,Import,  All Products,Import (US$ Thousand),1634.914,2373.807,249.833,1663.628
Turkmenistan,Russian Federation,Import,  All Products,Import (US$ Thousand),168665.236,131833.74,167249.632,254491.486
Turkmenistan,Saudi Arabia,Import,  All Products,Import (US$ Thousand),460.865,39.934,98.033,30.456
Turkmenistan,"Serbia, FR(Serbia/Montenegro)",Import,  All Products,Import (US$ Thousand),,,1.209,
Turkmenistan,Singapore,Import,  All Products,Import (US$ Thousand),275.163,3381.668,143.46,433.796
Turkmenistan,Slovak Republic,Import,  All Products,Import (US$ Thousand),680.225,1348.848,485.526,1074.29
Turkmenistan,Slovenia,Import,  All Products,Import (US$ Thousand),623.278,305.755,1853.711,292.852
Turkmenistan,South Africa,Import,  All Products,Import (US$ Thousand),,,,24.304
Turkmenistan,Spain,Import,  All Products,Import (US$ Thousand),285.142,321.471,1105.585,2030.598
Turkmenistan,Sri Lanka,Import,  All Products,Import (US$ Thousand),,,19.464,85.404
Turkmenistan,Sweden,Import,  All Products,Import (US$ Thousand),18379.456,3278.071,529.541,377.012
Turkmenistan,Switzerland,Import,  All Products,Import (US$ Thousand),6408.013,6048.06,10281.826,5928.05
Turkmenistan,Syrian Arab Republic,Import,  All Products,Import (US$ Thousand),36.974,8.333,,62.285
Turkmenistan,Tajikistan,Import,  All Products,Import (US$ Thousand),8759.868,7065.198,3013.407,6680.936
Turkmenistan,Thailand,Import,  All Products,Import (US$ Thousand),,,74.399,5622.309
Turkmenistan,Turkey,Import,  All Products,Import (US$ Thousand),153814.735,149024.963,260012.992,253252.016
Turkmenistan,Ukraine,Import,  All Products,Import (US$ Thousand),283853.107,183633.781,182036.496,214285.212
Turkmenistan,United Arab Emirates,Import,  All Products,Import (US$ Thousand),44820.851,42794.461,149148.224,146630.84
Turkmenistan,United Kingdom,Import,  All Products,Import (US$ Thousand),,,,12082.537
Turkmenistan,United States,Import,  All Products,Import (US$ Thousand),87941.421,72891.697,66276.704,62809.459
Turkmenistan,Unspecified,Import,  All Products,Import (US$ Thousand),186.894,50234.886,96551.752,105312.588
Turkmenistan,Uzbekistan,Import,  All Products,Import (US$ Thousand),39241.438,39628.154,49779.712,35335.724
Turkmenistan,Vietnam,Import,  All Products,Import (US$ Thousand),,26.449,,
